user_id,question_id,action_weight
9ee91965-aec6-4ee8-b636-0725a71fd2d3,89fb9c04-3aa5-4f37-8067-207fe4f34595,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,eee516cb-12cd-4532-993d-cb91a586e3bd,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,37816290-e794-4517-b1b7-242a18e02f3b,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,2c6100f7-7ca3-43dd-a20a-24f64832bbb1,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,9f229ae4-d411-4f03-9d46-fe41cf8bb4b0,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,c35a4f89-9bf5-4c07-bef8-fac00c5cde55,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,4304cf2d-2012-4576-a9d2-01a16ab9606f,1.0
9ee91965-aec6-4ee8-b636-0725a71fd2d3,a39384db-bfa5-4466-9962-0143d7c388cf,1.0
0f697b79-53fa-47b1-9daa-be3ea375621a,e2ed56ab-2d15-4eb8-ab1e-6516948d8dc6,1.0
a01dfa5f-c1e9-452e-9479-c9cae8d389e6,e2ed56ab-2d15-4eb8-ab1e-6516948d8dc6,-1.0
